record_id,name_code,web_site,genus,subgenus,species,infraspecies_parent_name_code,infraspecies,infraspecies_marker,author,accepted_name_code,comment,scrutiny_date,sp2000_status_id,database_id,specialist_id,family_id,specialist_code,family_code,is_accepted_name,gsdtaxonguid,gsdnameguid,is_extinct,has_preholocene,has_modern,reference_year,ref_source,as_authors,as_edition,as_journal,as_note,as_pages,as_volume,as_year
8559,8f6ae037-a516-4700-8820-77b4eaa55e05,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Laquearia%20nylanderi,Laquearia,\N,nylanderi,\N,\N,\N,"P. Crouan & H. Crouan, 1867",8f6ae037-a516-4700-8820-77b4eaa55e05,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1867,In: Florule Finistère (Paris):46.,"P. Crouan, H. Crouan",\N,\N,\N,46,\N,1867
8560,acb013a1-ba81-49bc-822b-9e354cab3375,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Laquearia%20sphaeralis,Laquearia,\N,sphaeralis,\N,\N,\N,"(Fr.) Fr., 1849",acb013a1-ba81-49bc-822b-9e354cab3375,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1849,"In: Summa veg. Scand., Sectio Post. (Stockholm):366.",E.M. Fries,\N,"Summa veg. Scand., Sectio Post. (Stockholm):",\N,366,\N,1849
8561,9becca3f-5e17-480b-abe7-e20853d57252,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Gelineostroma%20swartii,Gelineostroma,\N,swartii,\N,\N,\N,"P. R. Johnst., 1992",9becca3f-5e17-480b-abe7-e20853d57252,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1992,In: Aust. Syst. Bot. 5(4):507.,"Johnston, Peter R.",\N,nov. (Rhytismatales) Aust. Syst. Bot.,\N,507,5(4),1992
8562,80a66d83-6486-42c7-83fb-4a2f8892f8fb,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Gelineostroma%20athrotaxis,Gelineostroma,\N,athrotaxis,\N,\N,\N,"H. J. Swart, 1988",80a66d83-6486-42c7-83fb-4a2f8892f8fb,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1988,In: Trans. Br. mycol. Soc. 90(3):446.,H.J. Swart,\N,Trans. Br. mycol. Soc.,\N,446,90(3),1988
8563,7f004552-e6bf-43c5-a430-c6bbbd6385db,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Hypodermellina%20ruborum,Hypodermellina,\N,ruborum,\N,\N,\N,"Höhn., 1917",7f004552-e6bf-43c5-a430-c6bbbd6385db,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1917,In: Annls mycol. 15(5):303.,"Höhnel, F.X.R. von",\N,\N,\N,303,15(5),1917
8564,a0f57c8a-7a67-4263-8296-cd66cce4b4e8,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Cavaraella%20micraspis,Cavaraella,\N,micraspis,\N,\N,\N,"(Berk. & M. A. Curtis) Speg., 1921",a0f57c8a-7a67-4263-8296-cd66cce4b4e8,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1921,"In: Boln Acad. nac. Cienc. Córdoba 26(2-4):397 [no. 36, reprint page 31].",C.L. Spegazzini,\N,Boln Acad. nac. Cienc. Córdoba,reprint page 31].,397,26(2-4),1921
8565,dcda9100-aee0-467f-a388-8deac7667863,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Didymascus%20kitmanoffii,Didymascus,\N,kitmanoffii,\N,\N,\N,"Sacc., 1896",dcda9100-aee0-467f-a388-8deac7667863,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1896,In: Malpighia 10:278.,P.A. Saccardo,\N,Malpighia,\N,278,10,1896
8566,0ee7461a-297a-4f34-90a6-bded4ded318e,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Didymascus%20metkinoffi,Didymascus,\N,metkinoffi,\N,\N,\N,"Sacc., 1896",0ee7461a-297a-4f34-90a6-bded4ded318e,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1896,In: Malpighia 10:278.,P.A. Saccardo,\N,Malpighia,\N,278,10,1896
8567,8a08a96b-4401-48f0-88da-7dd15c35b045,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Phaeophacidium%20viburni,Phaeophacidium,\N,viburni,\N,\N,\N,"T. S. Ramakr. & K. Ramakr., 1950",8a08a96b-4401-48f0-88da-7dd15c35b045,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1950,"In: Proc. Indian natn Sci. Acad., Part B. Biol. Sci. 32:207.",T.S. Ramakr. & K. Ramakr.,\N,"Proc. Indian natn Sci. Acad., Part B. Biol. Sci.",\N,207,32,1950
8568,7c3513d1-d19e-4a77-96d6-0d5c4e11e9d0,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Phaeophacidium%20escalloniae,Phaeophacidium,\N,escalloniae,\N,\N,\N,"Henn. & Lindau, 1897",7c3513d1-d19e-4a77-96d6-0d5c4e11e9d0,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1897,In: Hedwigia 36(4):234.,Henn. & Lindau,\N,Hedwigia,\N,234,36(4),1897
8569,372dd633-893e-4471-8af2-366cbc1b7b65,http://www.speciesfungorum.org/Names/SynSpecies.asp?RecordID=Phaeophacidium%20abietinum,Phaeophacidium,\N,abietinum,\N,\N,\N,"Sacc., 1920",372dd633-893e-4471-8af2-366cbc1b7b65,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1920,In: Nuovo G. bot. ital. 27:80.,P.A. Saccardo,\N,Nuovo G. bot. ital.,\N,80,27,1920
