name_code,name,rank,estimate,source,inserted,updated
b868d556-71ea-4ec5-a57e-cf97646ca85e,Arachnida,CLASS,110615,\N,2015-10-08 22:16:38,\N
3fdbd5a2-788e-40b6-9658-53507b6e4fa4,Chilopoda,CLASS,3100,\N,2015-10-08 22:20:56,\N
62d1b81b-b6b0-4f31-a5fd-7efb036698b0,Diplopoda,CLASS,15000,\N,2015-10-08 22:21:32,2018-04-26 18:01:16
198fc194-848e-4c66-a5ed-719b06c101e1,Collembola,ORDER,8130,\N,2015-10-08 22:28:10,\N
abfd1b07-4026-42b3-acfd-3635747fd5cb,Entognatha,CLASS,9734,\N,2015-10-08 22:29:24,\N
349955af-050c-4d02-b235-6a82cb80a345,Diplura,ORDER,800,\N,2015-10-08 22:29:47,\N
e37a4f9c-c04b-4c1c-9d3d-6073c81a3725,Protura,ORDER,804,\N,2015-10-08 22:30:10,\N
06ec82f1-dd3d-43e1-a75f-b5cd4198e804,Insecta,CLASS,1053578,\N,2015-10-08 22:31:21,2018-04-09 18:06:30
1c595dac-cb70-46bb-9912-ed42b942ed38,Malacostraca,CLASS,40200,\N,2015-10-08 22:33:42,\N
a1f0ec79-808d-4ed3-be4e-b997f98605b8,Branchiopoda,CLASS,900,\N,2015-10-08 22:35:59,\N
77ee75a5-a4d0-4837-b99c-815ce0d3a2f7,Maxillopoda,CLASS,26000,\N,2015-10-08 22:37:23,\N
a46844ac-5ebe-4a39-9027-0ed397783495,Merostomata,CLASS,5,\N,2015-10-08 22:39:39,2017-06-27 19:06:58
558307f4-343d-4f60-b380-afd3f9303d06,Ostracoda,CLASS,13000,\N,2015-10-08 22:41:23,\N
f1f53451-8e1b-4d5a-a0bc-afc133141dc8,Pauropoda,CLASS,835,\N,2015-10-08 22:42:08,\N
cd97cdb8-9746-40e0-bf4a-ad15c5dc82a8,Pycnogonida,CLASS,1322,\N,2015-10-08 22:42:55,\N
5c13557c-9142-4a18-80e1-9a47306ccd8e,Remipedia,CLASS,12,\N,2015-10-08 22:44:34,\N
608e001c-df78-4b26-89cf-4d584ca70db4,Symphyla,CLASS,197,\N,2015-10-08 22:45:11,\N
85d36ae8-a075-4355-bcd8-bda2c9a8ab05,Cephalocarida,CLASS,10,\N,2015-10-08 22:49:10,\N
061950e4-9782-4d1a-9c87-dcf375788e6b,Animalia,KINGDOM,1525728,\N,2015-10-08 22:51:08,2018-04-09 17:54:39
a81195e4-8fa2-4620-8420-3fae86c84654,Isoetales,ORDER,170,\N,2015-10-09 23:36:26,\N
2281fe7a-22db-4709-a0af-35214e6a701f,Lycopodiales,ORDER,470,\N,2015-10-09 23:36:41,\N
7a982019-3049-4a52-8a7d-aab3cd0ec69f,Selaginellales,ORDER,690,\N,2015-10-09 23:37:02,\N
553b9a9d-cc17-435e-a92c-0081054e7ffa,Equisetales,ORDER,40,\N,2015-10-09 23:37:53,2015-10-16 16:39:00
47480265-5446-4800-82fe-7f8b0bf9bb36,Ophioglossales,ORDER,106,\N,2015-10-09 23:38:48,2016-01-05 18:52:54
d9750283-47a8-4751-8fb5-c916b0aa32e5,Psilotales,ORDER,17,\N,2015-10-09 23:39:03,\N
019e56ac-5e38-46e9-8966-99163ec4b78e,Marattiales,ORDER,140,\N,2015-10-09 23:39:42,\N
7aa4c5cd-647a-4d09-8557-794a1facdd6b,Osmundales,ORDER,21,\N,2015-10-09 23:40:01,\N
0fb910ac-626a-48a6-b60c-128fac7cbe42,Hymenophyllales,ORDER,600,\N,2015-10-09 23:40:21,\N
7aa4c5cd-647a-4d09-8557-794a1facdd6b,Osmundales,ORDER,21,\N,2015-10-09 23:40:40,\N
e0f65d05-37d3-4a3f-afd8-14dce209086e,Polypodiales,ORDER,9049,\N,2015-10-09 23:41:00,2016-01-05 18:28:51
bb84b6e9-b26a-4df0-ba15-7c3c1c677391,Salviniales,ORDER,78,\N,2015-10-09 23:41:31,2016-01-05 18:29:03
c3b62b73-f5da-4f54-a03b-6e97b541ea4d,Schizaeales,ORDER,187,\N,2015-10-09 23:42:03,2016-01-05 18:29:17
3a7a31fd-8aa0-48ed-8841-faae38b8f8b4,Gleicheniales,ORDER,163,\N,2015-10-09 23:46:08,\N
1bf85edd-f59d-4fe5-a5f7-74960c08f640,Cyatheales,ORDER,711,\N,2015-10-09 23:46:40,\N
a1d51c8a-0b01-4265-9054-adb53f2f068d,Ginkgo,GENUS,1,\N,2015-10-09 23:47:52,\N
e8980f05-6868-4e8d-8b85-d7a3e5bacf1a,Ginkgoaceae,FAMILY,1,\N,2015-10-09 23:47:58,\N
59cf658a-a2a7-42f3-bfb3-4a2021d29f14,Ginkgoales,ORDER,1,\N,2015-10-09 23:48:05,\N
b71ed815-981a-46de-bc94-8534eba764e6,Ginkgoopsida,CLASS,1,\N,2015-10-09 23:48:11,\N
26432959-7e73-436b-be27-07ba4c53b8ab,Welwitschia,GENUS,1,\N,2015-10-09 23:48:57,\N
ab75c205-7a12-4cfa-b48c-73c7f4766e0c,Welwitschiaceae,FAMILY,1,\N,2015-10-09 23:49:02,\N
2dc12ae3-1234-4b1a-942b-43561e7e426f,Welwitschiales,ORDER,1,\N,2015-10-09 23:49:07,\N
80846c91-b2c8-409e-a88f-8c5213637016,Lycopodiopsida,CLASS,1330,\N,2015-10-09 23:50:01,\N
617adb8a-4aef-4973-bb32-f2d4a4e91b1d,Polypodiopsida,CLASS,10804,\N,2015-10-09 23:52:53,2016-01-05 18:28:36
c2a3efa2-c94b-4166-943b-9dd84864a61a,Equisetaceae,FAMILY,40,\N,2015-10-16 16:39:09,\N
4e064ccf-1175-4998-8ca4-4fb4f45c7f44,Equisetum,GENUS,40,\N,2015-10-16 16:39:21,\N
7e953fd3-bccc-489e-add4-e301328017b3,Strepsiptera,ORDER,617,\N,2015-10-19 18:55:28,\N
d5846aba-eaf8-4b0e-ad3c-5a708a350760,Bahiaxenidae,FAMILY,1,\N,2015-10-19 18:55:55,\N
656d8489-3f44-4ae9-8751-c9533f015a89,Bohartillidae,FAMILY,1,\N,2015-10-19 18:56:12,\N
31fac813-cb86-4c46-abd6-38dc9b410e87,Corioxenidae,FAMILY,46,\N,2015-10-19 18:56:31,\N
1f5c75dc-1d44-45f7-8def-1a5a5b82c707,Elenchidae,FAMILY,28,\N,2015-10-19 18:57:36,\N
3e928d9a-aecf-4a4f-a1d1-20b9af783cb6,Halictophagidae,FAMILY,132,\N,2015-10-19 18:58:00,\N
58a59c75-517a-4c43-a0c7-6820dea068d4,Lychnocolacidae,FAMILY,23,\N,2015-10-19 18:58:15,\N
718849b1-8b22-4ba0-9576-f9fab0a098ac,Mengenillidae,FAMILY,16,\N,2015-10-19 18:58:43,\N
77feab03-06ac-45ed-946c-5a4feb154a67,Myrmecolacidae,FAMILY,84,\N,2015-10-19 18:59:41,\N
89b0d890-1a39-4f36-b39e-b5239fa91832,Stylopidae,FAMILY,169,\N,2015-10-19 19:00:08,\N
f5f820da-b86f-4e06-973f-a25078f5319e,Xeninae,FAMILY,117,\N,2015-10-19 19:00:27,\N
cca96693-2e60-499f-a9b6-c32df7fb9410,Isoetaceae,FAMILY,170,\N,2015-10-20 23:01:44,\N
8531a5ce-dbb9-410f-8605-3aec010f9d45,Lycopodiaceae,FAMILY,470,\N,2015-10-20 23:38:14,\N
136d7459-1381-48a8-93e1-0256cce229de,Selaginellaceae,FAMILY,690,\N,2015-10-20 23:38:43,\N
ea8c4185-606c-479d-aec3-29366c457bb0,Marattiaceae,FAMILY,140,\N,2015-10-20 23:39:10,\N
286b37bc-7c1d-4619-9354-bdbda8913f17,Cibotiaceae,FAMILY,11,\N,2015-10-20 23:41:04,\N
0d79d882-b997-4ad5-8968-140c181d242e,Culcitaceae,FAMILY,2,\N,2015-10-20 23:42:04,\N
aaba143a-5b78-4019-b9e9-300fc1edcb9f,Cyatheaceae,FAMILY,650,\N,2015-10-20 23:42:24,\N
c32997c3-2088-440a-8e62-3a40371a7d37,Dicksoniaceae,FAMILY,31,\N,2015-10-20 23:42:49,\N
689df5e0-d3ff-4caa-b4f8-2e1a6450fdde,Loxsomataceae,FAMILY,2,\N,2015-10-20 23:43:12,\N
577f60cc-4f96-4783-bb98-c5288f0a0055,Metaxyaceae,FAMILY,2,\N,2015-10-20 23:43:32,\N
f983b32a-27f7-48c7-9261-ea0ec6d73c3f,Plagiogyriaceae,FAMILY,12,\N,2015-10-20 23:43:49,\N
a2f09d45-3076-49cc-9f0f-274a1dd72bc9,Thyrsopteridaceae,FAMILY,1,\N,2015-10-20 23:44:06,\N
f19c18c2-aa47-40c5-bc05-2fc02653bf4c,Gleicheniaceae,FAMILY,150,\N,2015-10-20 23:45:14,\N
08209652-526b-4528-a008-84f492d3bbad,Dipteridaceae,FAMILY,10,\N,2015-10-20 23:45:32,\N
a0f03660-43a7-459a-914f-f90d6f32d775,Matoniaceae,FAMILY,3,\N,2015-10-20 23:45:45,\N
f0001eff-478c-47a1-a96d-47c4cf109551,Hymenophyllaceae,FAMILY,600,\N,2015-10-20 23:46:17,\N
f0c8d8f1-e713-4417-92a5-3dc82dcf9ecb,Osmundaceae,FAMILY,21,\N,2015-10-20 23:46:39,\N
7cd300af-de4c-47d7-adb2-dacc6e18a207,Salviniaceae,FAMILY,18,\N,2015-10-20 23:47:15,\N
68e76517-e33a-49ce-b2a5-e45c87bb8314,Marsileaceae,FAMILY,60,\N,2015-10-20 23:47:34,\N
9f79db61-14a9-432f-875f-518774b008ee,Anemiaceae,FAMILY,125,\N,2015-10-20 23:48:09,\N
9064e72d-0f6f-4429-8ab6-3cb419724d1b,Lygodiaceae,FAMILY,29,\N,2015-10-20 23:48:23,\N
9d175cfb-a77d-421b-b393-b5eb8e5ca38a,Schizaeaceae,FAMILY,33,\N,2015-10-20 23:48:38,\N
