8577,5938d880-90b9-4014-ac52-e8c5d0207680,https://www.biodiversitylibrary.org/page/474362,Karstenia,\N,macer,\N,\N,\N,"(P. Karst.) Sherwood, 1980",5938d880-90b9-4014-ac52-e8c5d0207680,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1980,In: Occ. Pap. Farlow Herb. Crypt. Bot. 15:109.,M.A. Sherwood,\N,Occ. Pap. Farlow Herb. Crypt. Bot.,\N,109,15,1980
8578,37e4871e-880e-4247-9b50-284da6e2cfdc,https://www.biodiversitylibrary.org/page/48301005,Karstenia,\N,clematidis,\N,\N,\N,"(W. Phillips) Sherwood, 1980",37e4871e-880e-4247-9b50-284da6e2cfdc,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1980,In: Occ. Pap. Farlow Herb. Crypt. Bot. 15:109.,M.A. Sherwood,\N,Occ. Pap. Farlow Herb. Crypt. Bot.,\N,109,15,1980
8579,11d20ee3-f2ba-4d17-81ef-349ae1917dc7,https://www.biodiversitylibrary.org/page/56120527,Karstenia,\N,rubicola,\N,\N,\N,"(Ellis & Dearn.) Sherwood, 1980",11d20ee3-f2ba-4d17-81ef-349ae1917dc7,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1980,In: Occ. Pap. Farlow Herb. Crypt. Bot. 15:111.,M.A. Sherwood,\N,Occ. Pap. Farlow Herb. Crypt. Bot.,\N,111,15,1980
8580,b7a32377-aa0b-4846-9b9f-2c67ef185141,https://www.biodiversitylibrary.org/page/5554902,Karstenia,\N,sorbina,\N,\N,\N,"(P. Karst.) P. Karst., 1885",b7a32377-aa0b-4846-9b9f-2c67ef185141,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1885,In: Acta Soc. Fauna Flora fenn. 2(no. 6):166.,P.A. Karsten,\N,Acta Soc. Fauna Flora fenn.,\N,166,2(no. 6),1885
8587,fd6406f7-c09d-4dbc-bad3-a5a695f34d44,https://www.biodiversitylibrary.org/page/2120126,Propolidium,\N,fuscocinereum,\N,\N,\N,"Ellis & Everh., 1893",fd6406f7-c09d-4dbc-bad3-a5a695f34d44,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1893,In: Proc. Acad. nat. Sci. Philad. 45:151.,Ellis & Everh.,\N,Proc. Acad. nat. Sci. Philad.,\N,151,45,1893
8590,b2357733-1e7a-45eb-8ed6-d4025558c5ca,https://www.biodiversitylibrary.org/page/54453737,Propolidium,\N,atrovirens,\N,\N,\N,"(Fr.) Rehm, 1888",b2357733-1e7a-45eb-8ed6-d4025558c5ca,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1888,"In: Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1.3(lief. 30):168.",Winter,Edn 2,"Rabenh. Krypt.-Fl.,",\N,168,(Leipzig) 1.3(lief. 30),1888
8591,5c2e2938-8ac5-4a89-8d9b-2f8d5fcab0e0,https://www.biodiversitylibrary.org/page/14753790,Propolidium,\N,pallescens,\N,\N,\N,"Feltgen, 1901",5c2e2938-8ac5-4a89-8d9b-2f8d5fcab0e0,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1901,"In: Vorstud Pilzfl. Luxemb., Nachtr. II:88.",J. Feltgen,\N,"Vorstud Pilzfl. Luxemb., Nachtr.",\N,88,II,1901
8592,36f3a53e-f74a-418b-a2c8-477a795691ad,https://www.biodiversitylibrary.org/page/473881,Propolidium,\N,glaucum,\N,\N,\N,"(Ellis) Sacc., 1884",36f3a53e-f74a-418b-a2c8-477a795691ad,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1884,In: Botan. Zbl. 18:250.,P.A. Saccardo,\N,Botan. Zbl.,\N,250,18,1884
8593,3f610a31-29cc-4f1e-9f09-fd7d4607872e,https://www.biodiversitylibrary.org/page/418452,Propolidium,\N,atrofuscum,\N,\N,\N,"Henn., 1904",3f610a31-29cc-4f1e-9f09-fd7d4607872e,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1904,In: Hedwigia 43(4):269.,P.C. Hennings,\N,Hedwigia,\N,269,43(4),1904
8594,63008b2b-f1db-4abc-a08b-498ed5da3cf9,https://www.biodiversitylibrary.org/page/14753789,Propolidium,\N,acerinum,\N,\N,\N,"Feltgen, 1901",63008b2b-f1db-4abc-a08b-498ed5da3cf9,\N,2017-10-27,1,25,12,20059,\N,inc.sed-1,1,\N,\N,0,0,0,1901,"In: Vorstud Pilzfl. Luxemb., Nachtr. II:87.",J. Feltgen,\N,"Vorstud Pilzfl. Luxemb., Nachtr.",\N,87,II,1901
