record_id,name_code,lifezone,database_id
10368,7fea44f1-2dca-494a-8e81-91eff7228029,TERRESTRIAL,48
10370,b4506d71-08f2-445d-ad24-9b01f80b6397,TERRESTRIAL,48
10372,ee2e86c0-40ad-40f9-bda9-b4c9c2980af8,TERRESTRIAL,48
10374,4da5c5cd-ac8f-4f9f-bb1d-6110b5000f8f,TERRESTRIAL,48
10376,c34acd09-6ffb-418d-82c9-be9971090014,TERRESTRIAL,48
10378,ea564d22-90b6-4c96-b7ee-1d90f96154a5,TERRESTRIAL,48
10380,e4602244-a0e6-4afd-806c-b5bb2bff142d,TERRESTRIAL,48
10382,b9172fcd-0408-4ebc-981a-c6bf7293f89e,TERRESTRIAL,48
10384,c390df6e-72c5-4f2d-a3f2-cbae8aaf0478,TERRESTRIAL,48
10386,751988be-9137-425b-a245-fb8aae35e477,TERRESTRIAL,48
10388,e3e0e0f4-053d-4bac-948c-4785c09e9474,TERRESTRIAL,48
10390,2d745208-6064-449f-bf88-f6ba5dada88d,TERRESTRIAL,48
10392,6c06c05f-4455-4c2e-923d-4490b0a6ef8b,TERRESTRIAL,48
10394,ac62815d-544d-475c-a1b1-0756c4dad9d3,TERRESTRIAL,48
10396,8768cbb9-cbdc-47e1-a9de-c2cf0eef24c9,TERRESTRIAL,48
10398,6725924f-7563-4593-91f3-511b0e7546c1,TERRESTRIAL,48
10406,66fde9f7-9d08-46ee-8fd3-f354c81d1f69,TERRESTRIAL,48
10408,9e36d5d8-b7db-4b8e-9a2e-968f9d500a4d,TERRESTRIAL,48
10410,03ed3681-50a2-4718-9444-b9992b89b03c,TERRESTRIAL,48
10412,fb808b69-3a15-43d9-83d2-d0a8885f7ce1,TERRESTRIAL,48
10414,8354374a-f80c-4e9f-9428-eefd38ad5b29,TERRESTRIAL,48
10416,ebee6778-a71f-4fc8-b429-4ac50288dfa1,TERRESTRIAL,48
10418,31ffab81-2994-474f-b4e4-43fa91793b32,TERRESTRIAL,48
10420,e727f10e-4c02-459c-8d5b-513415c50870,TERRESTRIAL,48
10422,08acff79-4dc1-4ace-8ab3-3d0091706d39,TERRESTRIAL,48
10424,a40da5c3-4f02-455a-acb3-54e57a12de6f,TERRESTRIAL,48
10426,132b7fe1-fdfb-4d8c-bce5-fc6301c0bb55,TERRESTRIAL,48
10428,3c32eaff-7082-4cf8-ae36-fefdce65a6ee,TERRESTRIAL,48
10430,85ef465b-0e69-4e9c-a616-81f771e42dcf,TERRESTRIAL,48
10432,d4c2e29f-7c4a-411e-a983-181550a42e0a,TERRESTRIAL,48
10434,64c98287-d46e-43e2-94c0-2bef1e3e785e,TERRESTRIAL,48
10436,980f63cf-087e-4946-9858-b10f96d6979e,TERRESTRIAL,48
10438,56a4bbcc-703e-4957-9f57-0ff5d20fdfef,TERRESTRIAL,48
10440,70e22c13-655d-467d-9d57-08703918b56f,TERRESTRIAL,48
10442,8f008c21-cabc-4207-8053-46b45cbb82e6,TERRESTRIAL,48
10444,4ba0f0ce-fbfe-4016-8630-517e898ecd06,TERRESTRIAL,48
10446,4479c378-a61a-42ea-8f18-3dea6debead6,TERRESTRIAL,48
10448,54acc2d7-6cb5-4a53-baf7-74d74373b624,TERRESTRIAL,48
10450,dd5caa52-56e0-41a9-baf6-b3f682deec59,TERRESTRIAL,48
10452,7bf2ab9a-d9e6-476c-a01c-d8726487b46f,TERRESTRIAL,48
10454,8eb4b179-f594-4073-9431-832e8d638fab,TERRESTRIAL,48
10456,567b2915-2144-4ed4-9892-003ab81e5a5f,TERRESTRIAL,48
10458,d735ebe0-9005-4150-9a82-d531b5dbffe3,TERRESTRIAL,48
10460,db9178d5-1089-482b-953d-de41368eb059,TERRESTRIAL,48
10462,25f7f673-8c62-4709-9f23-35ae09f202ff,TERRESTRIAL,48
10464,ee951264-57b4-40d7-ae25-3e4f2d02207a,TERRESTRIAL,48
10466,a510af0e-c63e-45ce-a4fb-03e6db5eb50d,TERRESTRIAL,48
10468,c014f5f2-ef9d-4c8d-b0d9-791849f8cdae,TERRESTRIAL,48
10470,5c2b1d71-6265-4d32-a1d4-7418e3835fa1,TERRESTRIAL,48
10472,b74a27ea-e09f-419d-8185-f3c3312d1334,TERRESTRIAL,48
10474,6e389717-5c68-4462-b983-3f2966e58c4e,TERRESTRIAL,48
10476,25645c1c-7db4-49b7-b2df-c739788454b6,TERRESTRIAL,48
10478,f02c7f40-0e32-475e-9fca-ff5246b6de40,TERRESTRIAL,48
10480,0bd9c198-6cb6-4eb6-b89a-c346f751bab5,TERRESTRIAL,48
10482,9aca84b9-c5df-435b-8e5a-0ce96da9eead,TERRESTRIAL,48
10484,19d32b9e-7548-4754-bd66-6fc7a34dfc7d,TERRESTRIAL,48
10486,f6748652-c558-4ec3-97c4-348d28678418,TERRESTRIAL,48
10488,e3aeac1b-93db-4bbe-99dc-269e085bb41d,TERRESTRIAL,48
10490,d27dca48-a190-4052-a027-722db87241f3,TERRESTRIAL,48
10492,80651511-a215-4f54-927f-e8ba13422c02,TERRESTRIAL,48
10494,fdf872fd-44c8-4f8d-a830-18e99ef3a7ad,TERRESTRIAL,48
10496,87c6f0f9-c7e6-47f9-af36-18bf44c6c1e3,TERRESTRIAL,48
10498,d6f435d2-e6a2-4a79-b37f-a06100a3da39,TERRESTRIAL,48
10500,a0f8ba3c-db89-48f9-866f-d54e14390b4d,TERRESTRIAL,48
10502,1129c71b-29a0-4adf-a8f7-3e0f8af66e07,TERRESTRIAL,48
10504,d552c18e-2b65-410d-a0d6-62caa8770268,TERRESTRIAL,48
10506,4ce71c1f-7bbe-44e5-9cf1-54607113649f,TERRESTRIAL,48
10508,e2646e42-396d-4f68-92b4-bcd19e2798a7,TERRESTRIAL,48
10510,33e1efd3-0bc9-488a-a0e9-016c734c257f,TERRESTRIAL,48
10512,ebf98a98-26a5-4a00-ae3f-d0971e42a5af,TERRESTRIAL,48
