7861,dfd7ae3e-7d6b-4f52-b73e-577314f57fc9,,Eupolybothrus,Eupolybothrus,montellicus,\N,\N,\N,Fanzago (1874),a3aede33-a516-4d91-ac30-be6d2a08c06b,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1874
2309,3abea73a-d990-42e1-8b9f-c1bc5f14ae60,,Geranium,\N,pusillum,\N,humifusa,subsp.,A. Terracc.,83c3a972-07ca-475e-9162-e46b30d3478e,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1890
4830,fc66abf6-b309-441c-be90-a1847ec7e3ef,https://www.biodiversitylibrary.org/page/2752439,Scolopendra,\N,polymorpha,\N,\N,\N,"Wood, 1861",fc66abf6-b309-441c-be90-a1847ec7e3ef,\N,2006-02-27,1,42,4,2910,\N,5bb2b5cf-7a38-4dbe-bd22-7d0bcd6ded05,1,\N,\N,0,0,0,1861
7297,3b532890-0ab8-4e5d-93cc-884bccc781b0,https://www.biodiversitylibrary.org/page/18332023,Lithobius,Lithobius,borealis,\N,\N,\N,"Meinert, 1868",3b532890-0ab8-4e5d-93cc-884bccc781b0,Type locality of neotype,2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1868
8317,1eedcbb9-faf9-4fd0-bc80-e864ec86d7a7,,Lithobius,Lithobius,pusillus,\N,pusillifrater,subsp.,,95f4e3ee-e4dd-4d94-9d13-0bf9662783f2,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1925
1866,8b2dae66-2922-4d03-bb9f-97be5af766ad,,Geranium,\N,haemanthum,\N,\N,\N,Willd. ex Spreng.,9e6b0804-463f-4ff9-9aca-96e6b1ef228e,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1826
2633,d19f6774-a44e-465c-8bd0-1af1683187af,,Geranium,\N,pyrenaicum,\N,umbrosum,subsp.,(Waldst. & Kit.) Graebn. in Asch. & Graebn.,1fba2745-a282-4644-a62a-d4d8c8769a3b,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1913
7360,2df45a8c-deee-4a40-80d6-cd5370128dcb,https://www.biodiversitylibrary.org/page/26495616,Lithobius,Lithobius,minimus,\N,\N,\N,"L. Koch, 1862",2df45a8c-deee-4a40-80d6-cd5370128dcb,"Uncertain identity. Type loc. according to Eason (1972 - Bulletin of the British Museum (Natural History), Zoology, 22 (4): 128)",2006-02-27,1,42,2,2912,\N,4717e5b8-d956-4167-91b0-3ea1b23af5f2,1,\N,\N,0,0,0,1862
3718,e02bb433-6b0f-4d5a-a618-a4c68c9fec92,,Geophilus,\N,litorivagus,\N,\N,\N,"Verhoeff, 1943",e02bb433-6b0f-4d5a-a618-a4c68c9fec92,\N,2006-04-19,1,42,7,2891,\N,610540a6-12ec-4611-a743-040085db81eb,1,\N,\N,0,0,0,1943
5743,560e61d4-9eb3-447e-8820-d09360758dd0,https://www.biodiversitylibrary.org/page/756951,Geophilus,\N,luridus,\N,\N,\N,"Meinert, 1870",93216a9b-cb18-4cbb-b91c-e26c34f0e851,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1870
2599,1d172d1c-1e88-4fc0-be7a-dcb2e738a7b3,,Geranium,\N,collinum,\N,darvasicum,var.,Kinzik. in Ovcz.,36eaca15-6e35-458d-acc0-baa1af3ee763,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1981
1385,273fdc0b-9c2b-489c-8503-fb860ff5a3f7,https://www.biodiversitylibrary.org/page/36771387,Geranium,\N,bockii,\N,\N,\N,R. Knuth in Engl.,8768cbb9-cbdc-47e1-a9de-c2cf0eef24c9,\N,\N,5,48,\N,\N,\N,\N,0,\N,\N,0,0,0,1912
7646,c72ad4d4-fd48-48b4-bdcc-9a473e73ea43,,Chaetechelyne,\N,duboscqui,\N,\N,\N,"Verhoeff, 1943",508defd1-2892-48cb-add8-5090eaa437ac,\N,\N,5,42,\N,\N,\N,\N,0,\N,\N,0,0,0,1943
