record_id,author,year,title,source,database_id,reference_code
3307,"M. Wilson, N.F. Robertson",1947,\N,In: Trans. R. Soc. Edinb. 61:524.,25,9b416bca-2fed-48bc-953b-833ad7537e15
3308,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:96.,25,eb1389a8-a8c5-4a56-8c91-4449d97a429d
3309,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:91.,25,cbc6f32e-73e7-4b18-9812-09d11b0ca7f5
3310,A.C. Hilitzer,1929,\N,In: V?d. Spisy ?sl. Akad. zem?d. 3:92.,25,3a8606ca-aa9a-4ed6-8f15-bd59f4306a69
3311,J.W.A. Lind,1928,\N,In: Skr. Svalbard Ishavet (Oslo) no. 13:16.,25,583c9f84-7268-4431-ac18-f50e161cedbc
3312,G.D. Darker,1932,\N,In: Contr. Arnold Arbor. 1:76.,25,4f4820a9-c432-4ff0-9c74-9a563d068531
3313,J.J. Davis,1922,\N,In: Trans. Wis. Acad. Sci. Arts Lett. 20:424.,25,48c6a25b-0841-46aa-a3d6-d3d7cb1b6ece
3314,"P.F. Cannon, Minter",1986,\N,In: Mycol. Pap. 155:56.,25,689928ae-cdf9-4880-b9c9-cb19bf6210bd
3315,"P.F. Cannon, Minter",1986,\N,In: Mycol. Pap. 155:64.,25,28d1a139-8c83-46bb-bd14-d8c2a06680cb
3316,"P.F. Cannon, Minter",1986,\N,In: Mycol. Pap. 155:76.,25,09c32f0e-28d7-4e33-bedd-8021a65edbba
3317,K. Sawada,1952,\N,In: Bull. Govt Forest Exp. Stn Meguro 53:151.,25,f7eac188-2fe2-4014-80ee-69edfa5d148a
3318,J.A. Parmelee,1958,\N,In: Can. J. Bot. 36:865.,25,ee8534af-76b7-4956-8880-17b3a9d5b962
3319,F. Petrak,1954,\N,In: Sydowia 8(1-6):208.,25,032046fb-0ec6-44d7-a916-7fb117f85afd
3320,K. Sawada,1950,\N,"In: Report forest Expt. Stn, Tokyo 46:141.",25,c21495ea-4349-465d-8b7d-24e20d1e774e
